temperature,ph_level,moisture_content,total_plate_count,coliform_count,storage_time_days,water_activity,food_type,packaging_type,supplier_id,safety_status
-13.53,5.91,89.89,192.28,17.61,81.0,0.8403,dairy,frozen,SUP002,safe
-12.95,6.4,64.77,10893.69,1880.45,97.0,0.6344,meat,frozen,SUP011,safe
10.13,7.57,82.29,284.99,44.37,2.0,0.767,produce,vacuum,SUP003,safe
5.34,4.22,69.92,13763.01,4165.55,116.0,0.8042,meat,vacuum,SUP010,unsafe
-15.22,5.34,,109.36,,16.0,0.7317,produce,frozen,SUP006,safe
10.6,5.33,51.43,2302.77,740.23,6.0,0.6542,processed,aerated,SUP006,safe
0.67,6.01,66.38,26176.24,863.95,92.0,0.7167,dairy,vacuum,SUP020,safe
3.29,6.18,98.0,547.65,58.06,7.0,0.9782,produce,refrigerated,SUP002,safe
5.6,6.31,86.84,5105.98,295.47,72.0,0.8529,seafood,vacuum,SUP010,safe
-16.76,6.12,5.0,5010.19,217.78,293.0,0.4707,grain,frozen,SUP006,safe
-10.83,6.08,91.61,7218.05,317.02,11.0,0.99,dairy,frozen,SUP017,safe
15.81,6.48,91.12,9890.82,1081.5,15.0,0.8765,produce,ambient,SUP014,unsafe
-14.41,,5.0,2560.11,141.23,211.0,0.3099,grain,frozen,SUP005,safe
6.88,4.72,29.77,1521.64,164.26,24.0,0.6501,processed,vacuum,SUP017,safe
-9.94,,93.16,71735.27,8198.23,141.0,0.8516,produce,frozen,SUP002,safe
3.97,6.18,72.06,372.89,16.47,12.0,0.7656,seafood,refrigerated,SUP009,safe
,5.56,98.0,72982.65,2788.91,4.0,0.9381,produce,ambient,SUP012,unsafe
,4.54,12.14,6610.54,758.74,193.0,0.3788,grain,canned,SUP019,safe
14.37,4.63,83.0,15912.65,1423.15,10.0,0.7526,produce,canned,SUP007,unsafe
15.73,6.81,98.0,34125.0,5616.28,4.0,0.9618,dairy,ambient,SUP009,unsafe
1.7,4.21,55.76,6623.34,312.91,32.0,0.614,processed,vacuum,SUP016,safe
-13.68,5.06,53.45,772.57,87.75,153.0,0.7192,produce,frozen,SUP020,safe
12.37,5.89,85.14,4554.08,493.7,57.0,0.7806,produce,canned,SUP011,safe
8.76,5.34,56.16,540.56,39.3,63.0,0.668,meat,vacuum,SUP012,safe
16.24,6.16,82.0,6334.64,407.06,170.0,0.7222,produce,canned,SUP015,unsafe
8.45,5.97,68.55,6303.63,750.75,17.0,0.6379,meat,aerated,SUP018,safe
0.53,5.85,93.54,10963.04,524.81,6.0,0.866,produce,refrigerated,SUP019,safe
20.53,7.49,87.61,17365.31,3989.82,4.0,,dairy,ambient,SUP016,unsafe
5.95,5.76,98.0,527.9,23.12,,0.99,produce,aerated,SUP015,safe
1.72,6.23,56.37,1306.22,153.12,,0.6643,processed,refrigerated,SUP005,safe
3.06,7.23,90.75,2298.93,83.02,21.0,0.9545,dairy,vacuum,SUP011,safe
-14.42,4.58,52.01,,21.05,,0.6191,processed,frozen,SUP015,safe
9.51,8.03,92.87,2149.65,201.2,7.0,0.9339,seafood,vacuum,SUP018,safe
18.98,6.21,8.84,3030.53,840.45,12.0,0.3212,grain,ambient,SUP013,safe
2.67,5.68,9.1,154202.29,19984.4,0.0,0.3195,grain,refrigerated,SUP004,safe
-0.58,5.72,,663.11,33.81,9.0,0.6701,produce,refrigerated,SUP017,safe
5.66,6.39,98.0,1309.46,,31.0,0.9538,produce,refrigerated,SUP004,safe
-16.34,6.36,11.23,658.85,56.38,285.0,0.3861,grain,frozen,SUP016,safe
19.35,8.46,98.0,20473.95,975.23,0.0,0.9759,seafood,ambient,SUP015,unsafe
2.94,6.67,65.94,24788.34,6094.6,29.0,0.7394,meat,refrigerated,SUP014,safe
21.51,,90.89,,1130.47,18.0,0.99,produce,ambient,SUP012,unsafe
-14.47,,17.47,114.31,22.62,38.0,0.4223,grain,frozen,SUP003,safe
5.82,5.86,5.0,2774.53,252.69,62.0,0.3821,grain,vacuum,SUP010,safe
-12.54,,15.59,1399.26,89.44,,0.3851,grain,frozen,SUP008,safe
12.32,7.56,80.35,27314.15,3954.44,13.0,0.7768,seafood,vacuum,SUP006,unsafe
-11.33,6.51,8.96,15513.68,668.62,31.0,0.3941,grain,frozen,SUP014,safe
-14.27,6.64,96.73,615.79,47.89,120.0,0.9243,dairy,frozen,SUP017,safe
,7.1,70.96,2622.44,180.04,17.0,0.8029,seafood,frozen,SUP019,safe
4.43,7.08,87.75,1386.13,60.7,69.0,0.888,dairy,vacuum,SUP016,safe
3.15,5.11,84.55,1205.08,145.3,28.0,0.8099,meat,vacuum,SUP015,safe
-15.66,7.16,62.93,529.79,33.63,106.0,0.7628,meat,frozen,SUP015,safe
16.68,4.16,67.03,3598.04,155.67,0.0,0.6921,meat,ambient,SUP001,safe
15.96,6.66,98.0,15317.47,2217.97,621.0,0.9683,produce,canned,SUP012,unsafe
10.79,5.76,74.74,526900.43,12505.2,247.0,0.8499,meat,canned,SUP010,unsafe
,7.8,74.94,2475.98,,8.0,0.7679,seafood,refrigerated,SUP014,safe
-11.74,6.09,78.03,22758.77,2528.57,257.0,0.865,meat,frozen,SUP010,safe
9.06,,64.32,1760.19,100.74,0.0,0.738,meat,aerated,SUP010,safe
14.0,6.24,54.35,239747.33,49828.11,166.0,0.6959,meat,canned,SUP020,unsafe
7.33,,98.0,10456.42,1147.54,6.0,0.8952,dairy,aerated,SUP011,unsafe
19.81,5.24,78.97,33353.9,5336.26,18.0,0.824,produce,ambient,SUP016,unsafe
9.26,6.33,98.0,2667.38,130.47,9.0,0.8666,produce,vacuum,SUP009,safe
11.89,4.63,85.11,50936.04,5674.63,129.0,0.9388,produce,canned,SUP015,unsafe
,7.0,98.0,7288.64,420.29,16.0,0.8363,seafood,vacuum,SUP014,safe
11.11,6.47,56.31,2636.7,304.94,33.0,0.6483,meat,aerated,SUP019,safe
4.97,6.8,22.25,380.78,14.49,5.0,0.3981,grain,refrigerated,SUP009,safe
5.64,7.37,85.0,3962.14,307.5,1.0,0.8862,seafood,aerated,SUP004,safe
3.8,6.69,88.38,4765.09,124.32,77.0,0.9707,seafood,vacuum,SUP007,safe
-16.58,7.22,94.68,12000.21,1183.08,98.0,0.9482,dairy,frozen,SUP008,safe
3.83,5.26,65.02,3825.96,106.26,26.0,0.8707,meat,vacuum,SUP008,safe
5.03,,56.91,182.28,6.54,35.0,0.601,meat,vacuum,SUP019,safe
3.2,5.73,69.49,8971.86,412.62,12.0,0.6866,meat,refrigerated,SUP015,safe
2.05,,92.23,32487.13,996.92,12.0,0.8548,produce,refrigerated,SUP016,safe
16.73,6.04,75.28,613.65,56.43,1.0,0.7954,seafood,ambient,SUP009,safe
3.31,5.53,92.78,75621.87,12150.62,23.0,0.8517,produce,refrigerated,SUP012,unsafe
4.5,6.11,15.3,14082.2,959.62,3.0,0.3618,grain,refrigerated,SUP016,safe
5.05,7.58,,714.36,143.21,15.0,0.3635,grain,vacuum,SUP004,safe
7.48,4.67,93.95,1058.96,72.03,2.0,,produce,refrigerated,SUP005,safe
5.52,5.03,47.33,13886.13,1231.98,20.0,0.551,processed,refrigerated,SUP008,safe
-0.77,,78.0,457.69,26.77,12.0,0.7871,dairy,refrigerated,SUP001,safe
-12.43,6.11,92.87,1918.45,128.05,253.0,0.8885,dairy,frozen,SUP006,safe
10.82,7.85,77.23,928.13,102.44,7.0,0.8525,dairy,aerated,SUP015,safe
2.7,4.59,85.43,4266.25,,1.0,0.8103,produce,refrigerated,SUP004,safe
-0.49,6.47,12.72,12260.78,2086.29,5.0,0.3467,grain,refrigerated,SUP011,safe
19.02,6.11,83.74,18102.86,4382.94,21.0,0.8734,meat,ambient,SUP005,unsafe
5.98,4.98,51.93,17500.96,2853.55,,0.6776,processed,vacuum,SUP018,safe
5.64,6.92,90.28,3903.43,88.19,1.0,0.9583,dairy,aerated,SUP015,safe
4.65,4.07,47.02,3717.98,761.95,14.0,0.6291,processed,aerated,SUP018,safe
3.74,7.13,69.22,656.43,,19.0,0.7564,meat,refrigerated,SUP020,safe
5.3,8.04,84.51,4977.22,430.54,19.0,0.8781,dairy,vacuum,SUP013,safe
4.75,7.04,82.93,1858.41,73.93,,0.8257,seafood,vacuum,SUP005,safe
18.75,7.74,67.04,5896.37,139.05,29.0,0.722,meat,ambient,SUP001,safe
2.69,5.48,83.4,2642.6,302.65,0.0,0.7534,meat,vacuum,SUP018,safe
2.7,6.12,66.27,2479.6,448.98,6.0,0.7754,meat,refrigerated,SUP014,safe
15.6,7.15,5.0,88260.63,16393.35,125.0,0.3431,grain,canned,SUP005,safe
2.95,6.63,98.0,87312.85,15153.7,3.0,0.9759,seafood,refrigerated,SUP006,unsafe
-19.02,4.69,66.73,10002.18,505.4,52.0,0.5929,meat,frozen,SUP016,safe
17.58,4.21,98.0,194985.41,,85.0,0.9346,produce,ambient,SUP012,unsafe
15.79,7.15,98.0,78550.4,10379.3,19.0,0.8942,produce,ambient,SUP020,unsafe
6.8,5.38,79.45,7302.6,827.4,84.0,0.8915,meat,vacuum,SUP018,unsafe
6.96,6.85,78.02,4579.87,216.17,10.0,0.8378,seafood,vacuum,SUP002,safe
,5.61,87.87,7460.53,146.14,1.0,0.8828,dairy,aerated,SUP013,safe
6.28,7.26,72.25,3399.1,267.98,30.0,0.7481,dairy,refrigerated,SUP017,safe
0.66,4.87,98.0,1144.84,58.83,9.0,0.9569,produce,refrigerated,SUP017,safe
-9.32,6.11,76.48,10475.95,988.11,405.0,0.7507,dairy,frozen,SUP016,safe
,7.24,77.46,3912.15,106.76,11.0,0.7985,seafood,frozen,SUP018,safe
2.26,4.65,90.99,7726.15,177.3,111.0,0.8625,produce,vacuum,SUP008,safe
0.57,6.36,83.93,1219.17,51.61,7.0,0.9588,dairy,refrigerated,SUP003,safe
,6.62,83.43,10015.8,1492.69,5.0,0.9158,produce,ambient,SUP017,unsafe
7.83,6.14,83.94,8672.16,599.24,,0.8988,meat,aerated,SUP018,unsafe
,5.1,59.5,1707.36,228.81,286.0,0.6123,processed,frozen,SUP006,safe
10.84,7.17,83.22,602.52,104.18,2.0,0.8841,seafood,vacuum,SUP008,safe
-16.1,5.69,8.0,883.26,96.95,730.0,0.3614,grain,frozen,SUP013,safe
-13.82,7.1,98.0,10975.46,616.16,214.0,0.99,produce,frozen,SUP008,safe
10.26,5.85,80.36,2814.8,590.95,17.0,0.8384,dairy,vacuum,SUP019,safe
14.81,5.67,98.0,25432.73,4145.46,59.0,0.9367,produce,canned,SUP006,unsafe
9.18,5.09,51.11,6461.19,1169.1,181.0,0.6439,processed,canned,SUP015,safe
-12.48,6.31,98.0,1996.87,80.94,44.0,0.8467,produce,frozen,SUP010,safe
-17.49,6.88,10.86,1684.49,254.25,122.0,0.3322,grain,frozen,SUP017,safe
10.22,5.97,12.72,,63.12,68.0,0.4013,grain,vacuum,SUP001,safe
1.53,6.03,82.25,9095.13,476.88,15.0,0.8916,meat,refrigerated,SUP007,safe
12.91,6.06,91.94,4053.06,382.32,8.0,0.8701,meat,refrigerated,SUP013,unsafe
18.4,3.68,98.0,552112.13,63610.11,46.0,0.935,produce,canned,SUP003,unsafe
3.61,5.73,88.77,1144.26,98.48,141.0,0.797,seafood,vacuum,SUP019,safe
4.06,5.52,17.89,1316.3,154.4,4.0,0.4893,grain,refrigerated,SUP015,safe
21.26,4.55,44.93,4181.68,333.74,9.0,0.6477,processed,ambient,SUP005,safe
11.35,4.84,72.95,813.72,213.71,7.0,0.8068,meat,aerated,SUP011,safe
15.33,6.4,60.87,76358.55,3705.2,537.0,0.716,meat,canned,SUP018,unsafe
9.76,6.0,15.76,2435.97,335.29,186.0,0.4801,grain,vacuum,SUP003,safe
-14.37,5.63,74.4,274.63,31.35,626.0,0.7434,meat,frozen,SUP006,safe
4.9,5.0,5.0,5861.13,299.79,110.0,0.3,grain,vacuum,SUP003,safe
12.96,6.96,80.39,5137.62,496.69,208.0,0.8756,seafood,canned,SUP005,unsafe
6.58,3.4,94.15,5945.56,595.37,2.0,0.9617,produce,refrigerated,SUP009,unsafe
-12.9,6.37,,8748.47,229.28,158.0,0.7874,dairy,frozen,SUP019,safe
14.87,5.55,93.58,4882.67,635.63,6.0,0.8817,produce,canned,SUP013,unsafe
16.39,7.19,66.58,,129.37,79.0,0.8172,seafood,canned,SUP006,unsafe
-20.0,4.25,82.24,70884.26,15975.37,0.0,0.8552,produce,frozen,SUP011,safe
6.93,6.68,95.35,282.38,14.87,8.0,0.9591,dairy,vacuum,SUP014,safe
6.66,4.67,90.01,813.13,,28.0,0.8271,produce,vacuum,SUP006,safe
9.01,5.35,15.4,480.75,41.67,6.0,0.4329,grain,refrigerated,SUP006,safe
1.41,6.37,64.53,43416.13,7071.79,20.0,0.6485,meat,vacuum,SUP017,safe
8.67,8.11,85.19,1960.9,328.29,24.0,0.7548,dairy,refrigerated,SUP011,safe
19.23,6.54,61.98,11516.68,518.92,33.0,0.7392,dairy,ambient,SUP015,unsafe
10.47,4.85,98.0,4498.79,,19.0,0.99,produce,aerated,SUP009,unsafe
19.03,5.65,,48462.96,3509.53,215.0,0.9243,produce,canned,SUP017,unsafe
-12.32,7.75,69.35,2104.36,346.66,57.0,0.7234,seafood,frozen,SUP007,safe
5.2,6.3,,6435.3,,1.0,0.7794,meat,refrigerated,SUP007,safe
19.73,7.99,74.41,309107.25,41022.6,33.0,0.7739,meat,ambient,SUP001,unsafe
2.55,4.93,98.0,11359.84,620.03,25.0,0.9337,produce,refrigerated,SUP008,safe
5.91,7.2,79.98,2022.0,202.96,9.0,0.9046,seafood,vacuum,SUP005,safe
1.85,6.24,37.71,3802.48,82.9,29.0,0.5274,processed,refrigerated,SUP019,safe
13.87,7.69,82.91,534995.73,112402.64,272.0,0.8062,dairy,canned,SUP008,unsafe
-20.0,3.94,79.7,4464.5,967.96,28.0,0.8588,produce,frozen,SUP017,safe
7.29,7.0,73.31,6290.44,376.18,46.0,0.7409,seafood,vacuum,SUP019,safe
5.63,8.19,76.96,645.4,10.52,33.0,0.793,seafood,vacuum,SUP012,safe
2.99,7.81,80.71,11315.24,669.43,0.0,0.7586,produce,refrigerated,SUP015,safe
-13.34,6.06,82.22,10828.32,257.36,91.0,0.8437,produce,frozen,SUP004,safe
9.7,4.71,50.75,28724.7,1806.97,560.0,0.6332,processed,canned,SUP012,unsafe
19.79,5.69,87.15,29323.44,547.77,295.0,0.9149,dairy,canned,SUP013,unsafe
3.69,8.27,70.76,306532.0,10242.28,,0.8028,dairy,refrigerated,SUP014,unsafe
3.56,6.08,93.96,23021.58,1371.84,36.0,0.9383,produce,refrigerated,SUP005,unsafe
6.1,4.82,86.18,36572.03,446.44,1.0,0.8799,produce,aerated,SUP016,safe
6.07,5.64,77.2,5437.89,156.77,13.0,,meat,vacuum,SUP007,safe
13.16,6.75,92.8,7147.64,263.08,3.0,0.9337,dairy,aerated,SUP015,unsafe
22.11,6.94,79.55,27023.48,3000.32,,0.7615,dairy,ambient,SUP013,unsafe
-11.44,5.28,18.14,881.88,126.38,127.0,0.3005,grain,frozen,SUP016,safe
-12.36,6.01,76.63,3984.4,482.61,206.0,0.8562,dairy,frozen,SUP012,safe
-15.08,4.48,83.24,28682.68,5755.96,673.0,0.8748,meat,frozen,SUP007,unsafe
9.65,6.63,62.01,9485.79,580.26,558.0,0.6967,meat,canned,SUP016,unsafe
3.4,5.53,73.53,6370.86,1255.18,2.0,0.8317,meat,refrigerated,SUP013,safe
-14.71,6.87,83.12,4775.68,603.16,279.0,0.8037,dairy,frozen,SUP003,safe
9.15,8.14,69.83,,1207.0,62.0,0.7186,seafood,vacuum,SUP015,safe
,6.68,94.01,2365.55,165.53,11.0,0.8689,dairy,vacuum,SUP003,safe
-9.16,5.91,5.86,,1.67,70.0,0.3665,grain,frozen,SUP007,safe
,5.96,53.0,4034.14,117.69,37.0,0.5653,meat,ambient,SUP018,safe
12.63,7.05,51.18,9607.88,775.93,99.0,0.5943,seafood,canned,SUP014,safe
,7.0,5.0,5536.9,379.61,,0.347,grain,refrigerated,SUP018,safe
8.16,5.75,98.0,2282.03,250.91,17.0,0.8768,produce,refrigerated,SUP019,safe
13.08,6.56,92.58,17508.21,117.91,14.0,0.8687,seafood,aerated,SUP014,unsafe
1.9,6.64,62.81,14209.7,576.31,3.0,0.5977,meat,vacuum,SUP020,safe
10.53,,66.26,17560.45,2292.02,26.0,0.761,meat,vacuum,SUP006,unsafe
5.15,4.43,85.35,1515.56,134.05,13.0,0.8204,produce,refrigerated,SUP008,safe
6.48,6.23,36.67,1002.85,9.8,50.0,0.4834,processed,vacuum,SUP007,safe
18.84,5.79,80.51,106837.35,20666.56,730.0,0.7586,produce,canned,SUP020,unsafe
-9.97,5.73,98.0,62109.1,9801.13,206.0,0.9161,produce,frozen,SUP018,unsafe
5.95,6.31,95.04,5460.31,330.72,,0.8387,produce,refrigerated,SUP018,safe
7.42,6.55,82.73,9288.85,430.83,206.0,0.9349,seafood,vacuum,SUP015,unsafe
,,71.65,706.52,86.18,22.0,0.6465,dairy,canned,SUP020,safe
-15.2,5.2,91.01,1335.12,199.64,13.0,,produce,frozen,SUP019,safe
-14.17,,26.96,512.95,71.63,148.0,0.4806,processed,frozen,SUP002,safe
1.29,5.7,93.43,4772.35,870.66,6.0,0.8685,dairy,refrigerated,SUP008,safe
5.0,5.95,92.59,607.54,50.29,4.0,0.9124,produce,vacuum,SUP011,safe
2.9,5.04,56.55,1770.95,92.21,5.0,0.6276,meat,refrigerated,SUP018,safe
2.09,8.29,96.16,1393.37,134.09,15.0,0.99,seafood,refrigerated,SUP013,safe
-13.59,7.45,67.04,18438.68,1146.73,382.0,0.6798,dairy,frozen,SUP009,safe
3.03,8.07,85.3,1007.87,77.79,1.0,0.7369,seafood,refrigerated,SUP009,safe
15.51,6.1,17.55,2465.88,148.67,283.0,0.3492,grain,canned,SUP017,safe
1.13,6.01,57.6,4870.03,67.99,15.0,0.6937,meat,vacuum,SUP007,safe
3.66,4.55,89.62,2678.44,85.17,15.0,0.8766,produce,refrigerated,SUP009,safe
-13.61,6.8,5.0,41040.73,3916.35,143.0,0.3701,grain,frozen,SUP001,safe
-14.93,5.3,21.54,160620.87,11209.1,470.0,0.4651,processed,frozen,SUP002,safe
13.48,6.25,59.32,5080.25,239.9,14.0,0.6538,meat,canned,SUP004,safe
,7.15,63.83,9755.18,581.29,19.0,0.6905,meat,ambient,SUP014,safe
-12.93,6.02,91.44,80.57,12.3,38.0,0.8751,dairy,frozen,SUP004,safe
7.94,4.9,50.67,30456.45,450.21,34.0,0.7236,processed,vacuum,SUP002,safe
15.48,5.26,50.94,78332.53,9403.99,701.0,0.6656,processed,canned,SUP008,unsafe
7.12,6.25,69.86,5433.86,417.8,33.0,0.8486,seafood,refrigerated,SUP018,safe
4.6,5.85,6.7,4330.31,133.4,7.0,0.3856,grain,refrigerated,SUP019,safe
-12.56,7.39,70.7,12449.03,636.62,300.0,0.7564,seafood,frozen,SUP014,safe
4.47,5.24,77.75,2181.53,297.35,4.0,0.7544,produce,refrigerated,SUP020,safe
11.06,7.55,79.06,10998.31,3213.24,0.0,0.824,dairy,aerated,SUP010,unsafe
9.27,4.79,12.75,72935.15,3008.57,705.0,0.3798,grain,canned,SUP017,unsafe
1.32,7.4,79.27,7892.42,1115.97,1.0,0.8106,dairy,refrigerated,SUP008,safe
8.76,6.53,8.76,1366.1,266.4,0.0,,grain,refrigerated,SUP014,safe
-3.38,5.54,18.95,1777.94,135.42,6.0,0.3205,grain,refrigerated,SUP008,safe
3.58,4.76,84.99,44501.22,3721.62,6.0,0.9155,produce,refrigerated,SUP005,unsafe
9.52,,71.66,16667.16,784.63,3.0,0.7633,dairy,vacuum,SUP016,safe
3.72,5.16,,675.14,41.96,23.0,0.7209,meat,refrigerated,SUP008,safe
12.78,6.64,72.66,25510.97,1253.37,189.0,0.7964,meat,canned,SUP010,unsafe
6.39,,73.29,8971.41,824.82,30.0,0.7336,meat,vacuum,SUP008,safe
7.94,7.43,91.26,38739.95,2951.69,2.0,0.9213,dairy,aerated,SUP009,unsafe
14.09,4.5,54.57,11581.73,1245.73,261.0,0.6988,processed,canned,SUP018,unsafe
6.95,6.07,90.29,3943.83,428.09,10.0,0.9378,produce,aerated,SUP003,safe
17.33,5.23,93.91,9153.57,664.13,730.0,0.9024,meat,canned,SUP017,unsafe
10.27,5.03,57.15,2243.39,150.49,158.0,0.6508,meat,vacuum,SUP020,safe
,6.91,74.14,29446.22,4973.85,3.0,0.7506,seafood,aerated,SUP015,unsafe
-18.16,4.97,98.0,20888.56,4004.1,730.0,0.9009,produce,frozen,SUP017,unsafe
12.43,,81.43,8116.57,2450.79,127.0,0.8284,seafood,canned,SUP008,unsafe
13.45,4.85,57.58,34137.96,9002.51,2.0,0.6638,processed,canned,SUP002,unsafe
5.52,7.09,81.7,24646.27,4837.89,20.0,0.7898,seafood,refrigerated,SUP017,safe
0.98,6.01,63.74,936.44,123.65,2.0,0.6571,processed,refrigerated,SUP018,safe
,6.75,5.0,8560.4,2008.74,0.0,0.3271,grain,refrigerated,SUP005,safe
15.53,6.78,83.42,4589.19,,,0.8206,meat,canned,SUP009,unsafe
6.82,5.58,61.71,7398.0,511.77,21.0,0.644,processed,refrigerated,SUP009,safe
4.14,6.77,72.9,7650.55,775.1,4.0,0.8154,dairy,vacuum,SUP002,safe
2.0,5.02,18.31,14289.85,1473.44,,0.5076,grain,vacuum,SUP002,safe
23.85,5.92,69.57,115961.6,4557.3,678.0,0.8003,meat,canned,SUP019,unsafe
6.35,6.48,5.93,1237.17,35.43,32.0,0.3026,grain,refrigerated,SUP003,safe
8.2,7.17,5.0,1486.19,167.78,5.0,0.33,grain,aerated,SUP017,safe
8.61,6.55,,149765.38,9706.16,54.0,0.4095,grain,vacuum,SUP014,safe
5.63,,19.08,2451.69,74.51,64.0,0.3653,grain,vacuum,SUP014,safe
6.6,4.97,78.14,13816.31,552.37,16.0,0.847,meat,refrigerated,SUP014,safe
-13.52,,82.89,154.01,,187.0,0.7664,dairy,frozen,SUP006,safe
9.27,7.34,88.17,2255.39,308.27,5.0,0.9573,seafood,aerated,SUP003,unsafe
-14.34,7.43,94.45,7288.26,917.91,117.0,0.8924,dairy,frozen,SUP001,safe
-18.34,5.38,91.55,1659.32,228.39,730.0,0.99,produce,frozen,SUP016,unsafe
9.81,5.73,62.78,12776.27,1460.13,5.0,0.7945,meat,refrigerated,SUP004,safe
6.18,5.55,54.41,1160.13,65.93,0.0,0.6483,processed,aerated,SUP001,safe
-0.08,4.6,94.87,977.48,31.02,20.0,0.8807,produce,refrigerated,SUP017,safe
13.36,,18.74,1243.57,145.18,87.0,0.4315,grain,canned,SUP018,safe
1.12,5.8,93.65,48647.08,4448.99,10.0,0.8997,dairy,refrigerated,SUP008,unsafe
5.84,4.47,5.0,2726.09,578.11,4.0,0.3124,grain,vacuum,SUP002,safe
16.06,5.01,44.9,2600.43,350.83,352.0,0.5089,processed,canned,SUP018,unsafe
16.99,8.36,61.01,135840.93,5736.83,730.0,0.6709,seafood,canned,SUP016,unsafe
-11.56,,97.47,17294.18,1525.06,230.0,0.878,produce,frozen,SUP010,safe
5.08,6.6,9.88,1091.0,74.51,10.0,0.3918,grain,vacuum,SUP008,safe
4.15,6.53,89.31,28072.36,2608.86,49.0,0.9301,dairy,refrigerated,SUP012,unsafe
,6.88,65.24,23818.67,2855.04,2.0,0.7611,seafood,aerated,SUP016,unsafe
-1.27,4.56,84.01,14628.02,939.38,8.0,0.8632,meat,refrigerated,SUP012,safe
5.71,4.69,73.06,,17.32,9.0,0.7322,dairy,refrigerated,SUP011,safe
-18.37,5.96,77.75,2179.83,216.55,730.0,0.8156,meat,frozen,SUP020,safe
10.12,7.55,86.18,555.81,39.52,0.0,0.8998,dairy,refrigerated,SUP019,safe
2.79,6.78,83.11,1656.76,57.44,16.0,0.8109,dairy,refrigerated,SUP001,safe
13.45,7.0,82.3,6431.58,656.91,163.0,0.8409,dairy,canned,SUP003,unsafe
1.69,6.27,43.62,1584.69,322.2,1.0,0.5763,processed,refrigerated,SUP012,safe
7.11,7.26,92.95,7347.77,472.87,19.0,0.9873,seafood,aerated,SUP009,unsafe
-7.18,4.9,50.13,42324.74,,160.0,0.6684,processed,frozen,SUP005,safe
6.82,6.35,67.31,2905.51,319.1,19.0,0.768,seafood,refrigerated,SUP001,safe
9.35,7.42,66.16,4778.81,832.77,100.0,0.6442,meat,canned,SUP010,safe
18.51,7.42,81.28,2414.59,555.74,523.0,0.837,seafood,canned,SUP017,unsafe
-10.42,6.25,88.98,184675.87,8892.82,317.0,0.8706,seafood,frozen,SUP004,unsafe
3.16,5.56,78.95,602.14,53.56,,0.805,dairy,refrigerated,SUP015,safe
19.92,6.5,84.62,3010.26,125.98,25.0,0.7719,produce,ambient,SUP019,unsafe
-14.04,4.97,70.23,26817.57,,642.0,0.7021,meat,frozen,SUP008,safe
9.92,6.98,98.0,11672.58,400.41,26.0,0.9336,produce,refrigerated,SUP015,unsafe
16.61,3.29,76.31,103234.16,10483.0,17.0,0.8517,produce,ambient,SUP007,unsafe
6.44,7.64,90.05,18407.84,806.61,49.0,0.8558,dairy,vacuum,SUP015,unsafe
7.72,6.89,80.36,4676.1,408.35,10.0,0.8023,dairy,aerated,SUP008,safe
-0.3,6.09,8.76,8043.87,241.01,0.0,0.446,grain,refrigerated,SUP010,safe
10.57,6.86,98.0,44471.76,3383.28,12.0,0.9222,seafood,refrigerated,SUP018,unsafe
0.46,8.01,83.04,1753.81,158.22,58.0,0.8333,dairy,refrigerated,SUP004,safe
14.66,,57.55,162027.93,8258.72,730.0,0.6683,processed,canned,SUP015,unsafe
0.78,5.78,92.19,3632.18,151.09,80.0,0.832,dairy,vacuum,SUP011,safe
12.8,4.12,78.2,6583.05,406.06,40.0,0.8369,produce,canned,SUP003,unsafe
10.27,5.14,31.55,3816.52,430.27,35.0,0.4724,processed,aerated,SUP015,safe
6.53,5.8,78.21,2832.33,173.68,6.0,0.8069,meat,aerated,SUP003,safe
5.76,5.28,74.16,2493.71,125.85,3.0,0.8043,dairy,refrigerated,SUP015,safe
5.19,6.46,68.36,25228.73,5235.8,50.0,0.8415,dairy,vacuum,SUP006,unsafe
7.48,5.34,80.26,499.74,29.55,27.0,0.7558,meat,refrigerated,SUP001,safe
18.09,6.51,74.81,1946.04,83.44,43.0,0.8295,dairy,canned,SUP014,unsafe
-15.76,6.08,82.27,20694.57,1682.32,446.0,0.8782,produce,frozen,SUP016,unsafe
6.23,7.69,98.0,7366.52,252.97,113.0,0.9051,dairy,vacuum,SUP001,unsafe
14.55,7.73,63.4,27036.05,2025.08,4.0,0.7421,seafood,canned,SUP017,unsafe
7.86,4.42,37.44,7986.77,472.22,103.0,0.6255,processed,vacuum,SUP008,safe
19.04,6.3,7.4,492.83,64.86,88.0,0.3099,grain,ambient,SUP018,safe
4.57,5.55,87.6,5861.81,334.45,0.0,0.8815,produce,refrigerated,SUP016,safe
-14.73,4.73,61.06,4312.49,334.26,62.0,0.7171,meat,frozen,SUP006,safe
9.35,5.82,78.41,8500.92,,3.0,0.8364,produce,aerated,SUP010,safe
22.89,8.49,95.1,7052.18,85.54,12.0,0.9566,seafood,ambient,SUP010,unsafe
15.94,7.03,82.63,22065.9,,519.0,0.8454,seafood,canned,SUP005,unsafe
8.1,5.22,90.85,3043.78,306.62,19.0,0.9162,dairy,vacuum,SUP012,safe
-11.83,6.02,10.63,504.48,27.99,564.0,0.3235,grain,frozen,SUP020,safe
18.54,6.03,82.89,,138.21,158.0,0.847,seafood,ambient,SUP017,unsafe
6.96,7.19,94.33,11304.05,784.84,17.0,0.8893,dairy,vacuum,SUP014,unsafe
5.74,6.22,60.04,885.96,160.62,4.0,0.6287,meat,aerated,SUP014,safe
